Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2014-03-01,2014-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,,99.080880,X,base year is 2015
ITA,2015-03-01,2015-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,,100.183800,X,base year is 2015
ITA,2016-03-01,2016-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,,99.800000,X,base year is 2015
ITA,2017-03-01,2017-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2017,2017,,102.600000,X,base year is 2015
ITA,2018-03-01,2018-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2018,2018,,103.100000,X,base year is 2015
ITA,2019-03-01,2019-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2019,2019,,104.200000,X,base year is 2015
ITA,2020-03-01,2020-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2020,2020,,105.300000,X,base year is 2015
ITA,2021-03-01,2021-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2021,2021,,105.500000,X,base year is 2015
ITA,2022-03-01,2022-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2022,2022,,111.600000,X,base year is 2015
ITA,2023-03-01,2023-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2023,2023,,126.300000,X,base year is 2015
ITA,2024-03-01,2024-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2024,2024,,129.900000,X,base year is 2015
ITA,2000-04-01,2000-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2000,2000,,71.791440,X,base year is 2015
ITA,2001-04-01,2001-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2001,2001,,74.398400,X,base year is 2015
ITA,2002-04-01,2002-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2002,2002,,77.540110,X,base year is 2015
ITA,2003-04-01,2003-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2003,2003,,79.278080,X,base year is 2015
ITA,2004-04-01,2004-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2004,2004,,81.951870,X,base year is 2015
